model,feature,importance
ridge,num__net_top_25_flag,1.691907071776902
ridge,num__NETNonConfSOS_MISSING,1.4267272776435265
ridge,num__net_top_45_flag,1.2059130514521186
ridge,num__PrevNET_LOG,1.1888269444712556
ridge,cat__Conference_Mountain West,1.141642415830114
ridge,num__net_top_16_flag,1.1255306909824458
ridge,num__NET_x_bad_losses,1.1230707647839546
ridge,num__NET Rank_LOG,1.1225869489648217
ridge,num__Quadrant1_L,0.9279861550577794
ridge,num__resume_balance_conf_z,0.7904839806222558
ridge,cat__Conference_ACC,0.6680727022588304
ridge,num__NETSOS_INV_season_z,0.6435816704885015
ridge,num__q4_bad_loss_flag,0.6304429579439879
ridge,num__WL_PCT_conf_z,0.6207121046556291
ridge,num__SeasonStart,0.6109626251600812
ridge,num__net_delta_x_current,0.6090105650770803
ridge,num__WL_MARGIN,0.590036298027382
ridge,num__AvgOppNET_LOG,0.557969346056204
ridge,num__NETSOS_LOG,0.5573110390445704
ridge,num__q12_share,0.5515594594617246
ridge,num__q34_share,0.5515594594617235
ridge,num__overall_losses,0.5515060231422918
ridge,num__WL_L,0.5515060231422916
ridge,num__AvgOppNET_INV,0.543295194759656
ridge,num__NET_x_q12_wins,0.5410535395380065
ridge,num__net_improved_flag,0.54102486027594
ridge,num__RoadWL_PCT_season_pct,0.523870935589726
ridge,num__quality_win_score_season_z,0.5217470016500825
ridge,num__overall_wins,0.516882566346685
ridge,num__WL_W,0.5168825663466836
ridge,cat__Conference_Big East,0.5143284832255044
ridge,num__quality_win_score_conf_z,0.513932804852692
ridge,num__q12_wins_season_z,0.4887878364586735
ridge,cat__Conference_WCC,0.4812851123566276
ridge,num__conf_vs_overall_gap,0.4622452745990341
ridge,num__Quadrant3_G,0.44992196689050845
ridge,num__Quadrant1_G,0.44638516746110257
ridge,num__net_move_abs,0.43978011929150296
ridge,num__AvgOppNET,0.43854129121480445
ridge,num__WL_PCT_season_z,0.4317380186289447
ridge,num__Quadrant2_G,0.42916439393861083
ridge,num__WL_PCT_season_pct,0.4277424801900684
ridge,num__net_top_10_flag,0.4106648470176419
ridge,num__q12_losses,0.4098798216887668
ridge,num__road_quality_season_pct,0.40889281769920416
ridge,num__Quadrant2_W,0.4045329989927542
ridge,num__NETNonConfSOS,0.4036201979927487
ridge,num__quality_minus_bad_season_z,0.4019352252803947
ridge,num__resume_balance_minus_conf_mean,0.3995292098280943
ridge,num__resume_balance_season_z,0.3987271831708441
ridge,num__Quadrant4_PCT,0.3968567369894981
ridge,num__Quadrant4_LOSS_PCT,0.3968567369894971
ridge,num__nonconf_quality_season_pct,0.3891818667976343
ridge,num__road_quality,0.3864291402116844
ridge,cat__Conference_Big 12,0.37756558410741015
ridge,cat__Conference_Atlantic 10,0.37593091401478057
ridge,num__AvgOppNET_INV_season_z,0.375854702242413
ridge,num__PrevNET_INV,0.3756212984236741
ridge,num__resume_efficiency_season_z,0.37080606678722816
ridge,num__PrevNET_INV_season_z,0.36845521996251884
ridge,num__resume_efficiency,0.3649886737886573
ridge,num__WL_LOSS_PCT,0.36465806293516406
ridge,num__WL_PCT,0.36465806293516345
ridge,num__overall_win_rate,0.3646580629351631
ridge,num__net_top_75_flag,0.364033298973927
ridge,num__Quadrant1_MARGIN,0.3638687663984128
ridge,cat__Conference_MVC,0.3633827384858353
ridge,num__top_resume_index_season_pct,0.3510349768119876
ridge,cat__Conference_NEC,0.3459930242333924
ridge,num__resume_efficiency_season_pct,0.34247042586679544
ridge,num__quality_win_score_minus_conf_mean,0.33630782778981394
ridge,num__Quadrant4_L,0.3291519608314374
ridge,num__Quadrant3_LOSS_PCT,0.32607908263331864
ridge,num__Quadrant3_PCT,0.3260790826333173
ridge,num__RoadWL_G,0.3182255914512727
ridge,num__NETNonConfSOS_LOG,0.3180390419854513
ridge,cat__Conference_CUSA,0.3115582712775308
ridge,num__nonconf_quality_season_z,0.3095216496928691
ridge,num__q4_risk_score,0.30631015189224653
ridge,num__sos_ratio,0.30551425351554834
ridge,num__NET Rank_INV,0.3037548888489857
ridge,cat__Conference_Big Ten,0.30277152450305134
ridge,num__nonconf_quality,0.2982915720867043
ridge,num__NETNonConfSOS_INV_season_z,0.29758245379585874
ridge,num__multiple_bad_loss_flag,0.2968071828149689
ridge,num__NETSOS_INV_season_pct,0.2949589308621496
ridge,num__NET Rank_INV_season_z,0.2920633747861888
ridge,num__Conf.Record_G,0.28938403223482445
ridge,num__conference_dominance_proxy,0.28910888614651087
ridge,num__AvgOppNETRank_LOG,0.288448195047715
ridge,num__Conf.Record_PCT_season_z,0.2760159613685137
ridge,num__AvgOppNETRank_INV_season_pct,0.27526750955854673
ridge,num__AvgOppNET_INV_season_pct,0.27526750955854673
ridge,num__RoadWL_PCT_conf_mean,0.27450249112492586
ridge,num__sos_gap,0.2743585174563137
ridge,num__net_delta,0.27345764289516605
ridge,num__NET Rank_INV_minus_conf_mean,0.2720552703841955
ridge,num__net_top_50_flag,0.26589920524441424
ridge,num__AvgOppNETRank_INV,0.2617738209447735
ridge,num__RoadWL_MARGIN,0.25955753574473966
ridge,num__q3_risk_score,0.25817589771494964
ridge,num__WL_PCT_conf_mean,0.25797198273347155
ridge,num__RoadWL_PCT_season_z,0.2482503730252793
ridge,num__conference_nonconference_gap,0.24749538620126085
ridge,num__Quadrant2_L,0.24072614693913683
ridge,num__q34_losses_neg_season_z,0.24025901698153418
ridge,num__road_quality_x_q12,0.23186260018039717
ridge,cat__Conference_Big Sky,0.2277369255323554
ridge,num__AvgOppNETRank_INV_season_z,0.2257442055338974
ridge,num__NET Rank_INV_conf_mean,0.22316524480887945
ridge,num__q12_wins_season_pct,0.22261757160879392
ridge,num__Quadrant4_MARGIN,0.2197414983348831
ridge,num__Non-ConferenceRecord_PCT_season_pct,0.21520093952771469
ridge,num__AvgOppNETRank,0.2148470100942046
ridge,num__RoadWL_PCT_conf_z,0.2111419388289157
ridge,num__quality_win_score_season_pct,0.20997698761232986
ridge,num__resume_balance_season_pct,0.2057983263643547
ridge,num__Non-ConferenceRecord_W,0.2000989834140664
ridge,num__Non-ConferenceRecord_G,0.19655655934312355
ridge,num__RoadWL_L,0.19645613509327942
ridge,num__road_losses,0.19645613509327917
ridge,num__Quadrant3_L,0.1963011289149946
ridge,cat__Conference_Summit League,0.19264150372790145
ridge,num__q2_quality_score,0.19165266213887067
ridge,cat__Conference_American,0.18850932815840896
ridge,num__NETSOS,0.18699555018512137
ridge,cat__Conference_MAAC,0.18578422471322795
ridge,num__q34_wins,0.185148808197189
ridge,num__road_vs_overall_gap,0.18421998365757492
ridge,cat__Conference_SEC,0.18292727026633962
ridge,num__road_win_rate,0.17706699595853925
ridge,num__RoadWL_LOSS_PCT,0.1770669959585388
ridge,num__RoadWL_PCT,0.17706699595853848
ridge,num__NETNonConfSOS_INV_season_pct,0.1765657580277632
ridge,num__Quadrant2_PCT,0.17265350221915576
ridge,num__Quadrant2_LOSS_PCT,0.17265350221915576
ridge,num__top_resume_index_conf_z,0.1693122524265671
ridge,num__bad_loss_penalty_neg,0.16569161002072028
ridge,num__bad_loss_penalty,0.16569161002072028
ridge,num__Quadrant3_MARGIN,0.1627020340114711
ridge,num__NET Rank_INV_conf_z,0.16154856453741545
ridge,num__q12_win_rate_season_pct,0.15936198002842228
ridge,num__PrevNET_INV_season_pct,0.15915684865729973
ridge,num__net_worsened_flag,0.15883904684046923
ridge,num__top_resume_index_minus_conf_mean,0.1499265394826701
ridge,cat__Conference_MEAC,0.14892229144365204
ridge,num__q34_games,0.1405137182362053
ridge,num__top_resume_index_conf_mean,0.13573329746495255
ridge,num__nonconference_win_rate,0.12809728560192035
ridge,num__Non-ConferenceRecord_LOSS_PCT,0.12809728560191974
ridge,num__Non-ConferenceRecord_PCT,0.12809728560191946
ridge,num__bad_loss_penalty_neg_season_z,0.12015014813324079
ridge,num__NET Rank_INV_season_pct,0.12013116940436053
ridge,num__Conf.Record_W,0.11742178513268386
ridge,cat__Conference_Pac-12,0.11470385914873234
ridge,num__Non-ConferenceRecord_MARGIN,0.11326624732158874
ridge,num__q12_win_rate,0.11219188082738296
ridge,cat__Conference_Ivy League,0.11211802303297308
ridge,num__conference_win_rate,0.10960990250746172
ridge,num__Conf.Record_PCT,0.10960990250746172
ridge,num__Conf.Record_LOSS_PCT,0.10960990250746139
