RecordID,Season,Team,Conference,NET Rank,BaseScore,BandScore,PUScore,FinalScore,RankOrder,PredictedSeed,q1_quality_score,q2_quality_score,q3_risk_score,q4_risk_score,quality_win_score,ridge_score
2025-26-Coastal Carolina,2025-26,Coastal Carolina,Sun Belt,229,1.0597797702064113,0.0,0.0,1.0597797702064113,215,0,-0.5,5.0,-6.0,-22.0,9.0,1.0597797702064113
2025-26-Washington St.,2025-26,Washington St.,WCC,145,8.559298938734855,0.0,0.0,8.559298938734855,145,0,-2.0,-7.0,-6.0,-4.5,4.0,8.559298938734855
2025-26-Nicholls,2025-26,Nicholls,Southland,250,-0.9899820855217953,0.0,0.0,-0.9899820855217953,237,0,-1.5,-2.0,-10.5,-19.0,4.5,-0.9899820855217953
2025-26-FGCU,2025-26,FGCU,ASUN,247,-3.369075689734956,0.0,0.0,-3.369075689734956,264,0,-1.5,0.0,-15.5,-26.0,2.0,-3.369075689734956
2025-26-Eastern Mich.,2025-26,Eastern Mich.,MAC,238,-3.828232243325239,0.0,0.0,-3.828232243325239,273,0,3.5,-6.0,-16.5,-20.5,5.0,-3.828232243325239
2025-26-Florida,2025-26,Florida,SEC,4,60.14974732524611,0.0,0.0,60.14974732524611,5,5,51.0,17.0,3.0,2.5,64.0,60.14974732524611
2025-26-Tulsa,2025-26,Tulsa,American,52,21.650174983070034,0.0,0.0,21.650174983070034,83,0,-1.0,9.0,3.0,6.0,18.0,21.650174983070034
2025-26-Louisville,2025-26,Louisville,ACC,16,55.47641715864032,0.0,0.0,55.47641715864032,10,10,31.0,12.0,4.0,3.5,46.0,55.47641715864032
2025-26-North Dakota,2025-26,North Dakota,Summit League,271,-1.0882386546888867,0.0,0.0,-1.0882386546888867,238,0,-1.0,0.0,-10.5,-22.0,4.5,-1.0882386546888867
2025-26-UTRGV,2025-26,UTRGV,Southland,126,9.840320037576038,0.0,0.0,9.840320037576038,134,0,-2.0,1.0,-3.0,-17.0,4.5,9.840320037576038
2025-26-UAlbany,2025-26,UAlbany,America East,326,-14.775439015805247,0.0,0.0,-14.775439015805247,365,0,0.0,-4.0,-19.0,-32.5,1.0,-14.775439015805247
2025-26-Baylor,2025-26,Baylor,Big 12,50,35.00859752150864,0.0,0.0,35.00859752150864,43,43,12.0,5.0,3.0,2.5,26.5,35.00859752150864
2025-26-Montana,2025-26,Montana,Big Sky,194,3.354813884688596,0.0,0.0,3.354813884688596,189,0,-1.5,2.0,-10.5,-12.5,9.5,3.354813884688596
2025-26-Eastern Wash.,2025-26,Eastern Wash.,Big Sky,204,-4.23073917974579,0.0,0.0,-4.23073917974579,277,0,-1.0,0.0,-25.5,-4.0,6.5,-4.23073917974579
2025-26-Colorado St.,2025-26,Colorado St.,Mountain West,87,20.7538210340286,0.0,0.0,20.7538210340286,88,0,11.0,4.0,2.5,0.5,24.5,20.7538210340286
2025-26-UT Martin,2025-26,UT Martin,OVC,205,1.9271053154473208,0.0,0.0,1.9271053154473208,205,0,-0.5,5.0,-7.5,-15.5,5.0,1.9271053154473208
2025-26-Xavier,2025-26,Xavier,Big East,97,23.349210625761586,0.0,0.0,23.349210625761586,78,0,-4.5,4.0,2.5,3.0,15.0,23.349210625761586
2025-26-Omaha,2025-26,Omaha,Summit League,258,-6.309322946335691,0.0,0.0,-6.309322946335691,304,0,0.0,-5.0,-13.0,-19.0,2.0,-6.309322946335691
2025-26-Sacred Heart,2025-26,Sacred Heart,MAAC,293,-8.91142653444438,0.0,0.0,-8.91142653444438,336,0,-0.5,-1.0,-15.5,-34.5,2.0,-8.91142653444438
2025-26-Coppin St.,2025-26,Coppin St.,MEAC,363,-9.991093679076485,0.0,0.0,-9.991093679076485,347,0,-1.5,-3.0,-12.5,-47.0,0.0,-9.991093679076485
2025-26-UAB,2025-26,UAB,American,118,10.172540806333508,0.0,0.0,10.172540806333508,131,0,8.5,0.0,-8.0,-3.5,17.5,10.172540806333508
2025-26-California Baptist,2025-26,California Baptist,WAC,98,15.698197962670495,0.0,0.0,15.698197962670495,110,0,-0.5,2.0,-2.5,6.5,10.0,15.698197962670495
2025-26-New Mexico,2025-26,New Mexico,Mountain West,46,28.386246334635814,0.0,0.0,28.386246334635814,62,62,5.5,17.0,-1.0,5.0,27.0,28.386246334635814
2025-26-UC Irvine,2025-26,UC Irvine,Big West,117,8.652519329005735,0.0,0.0,8.652519329005735,144,0,0.0,-1.0,-11.5,6.5,8.5,8.652519329005735
2025-26-Saint Mary's (CA),2025-26,Saint Mary's (CA),WCC,22,41.00070464378958,0.0,0.0,41.00070464378958,27,27,2.5,23.0,8.240000000000009,3.5,34.0,41.00070464378958
2025-26-Northeastern,2025-26,Northeastern,CAA,286,-9.805343805826723,0.0,0.0,-9.805343805826723,346,0,-0.5,-3.0,-22.0,-38.0,3.0,-9.805343805826723
2025-26-Tulane,2025-26,Tulane,American,207,7.64021193006176,0.0,0.0,7.64021193006176,150,0,-1.0,1.0,-12.5,1.0,10.0,7.64021193006176
2025-26-Iowa St.,2025-26,Iowa St.,Big 12,7,59.72261837791212,0.0,0.0,59.72261837791212,6,6,32.5,24.0,2.0,3.5,59.0,59.72261837791212
2025-26-Duke,2025-26,Duke,ACC,1,60.63930082897904,0.0,0.0,60.63930082897904,4,4,57.0,18.0,2.0,3.5,64.0,60.63930082897904
2025-26-Rider,2025-26,Rider,MAAC,357,-6.605077333550476,0.0,0.0,-6.605077333550476,307,0,-2.0,-1.0,-17.5,-47.0,0.0,-6.605077333550476
2025-26-Elon,2025-26,Elon,CAA,223,-2.83364316694594,0.0,0.0,-2.83364316694594,258,0,-1.0,5.0,-15.5,-28.0,7.0,-2.83364316694594
2025-26-Cal St. Fullerton,2025-26,Cal St. Fullerton,Big West,177,3.790974251049228,0.0,0.0,3.790974251049228,182,0,-1.5,0.0,-14.0,-3.5,8.5,3.790974251049228
2025-26-NIU,2025-26,NIU,MAC,335,-3.9213410188357187,0.0,0.0,-3.9213410188357187,274,0,-2.5,-2.0,-19.0,-21.0,1.0,-3.9213410188357187
2025-26-Colorado,2025-26,Colorado,Big 12,77,29.865391426779592,0.0,0.0,29.865391426779592,56,56,-0.5,11.0,4.5,2.0,23.5,29.865391426779592
2025-26-San Jose St.,2025-26,San Jose St.,Mountain West,244,6.108855065085617,0.0,0.0,6.108855065085617,164,0,-3.5,-4.0,-17.5,3.0,5.0,6.108855065085617
2025-26-Penn St.,2025-26,Penn St.,Big Ten,141,17.537312100684964,0.0,0.0,17.537312100684964,96,0,3.5,-5.0,-7.0,3.5,11.0,17.537312100684964
2025-26-CSU Bakersfield,2025-26,CSU Bakersfield,Big West,330,-7.116741888371273,0.0,0.0,-7.116741888371273,315,0,-1.0,-4.0,-22.0,-30.5,3.0,-7.116741888371273
2025-26-Maryland,2025-26,Maryland,Big Ten,138,24.977223321823743,0.0,0.0,24.977223321823743,71,0,-3.0,6.0,-4.5,2.5,14.5,24.977223321823743
2025-26-Miami (OH),2025-26,Miami (OH),MAC,64,17.4852155270968,0.0,0.0,17.4852155270968,97,0,0.0,9.0,8.240000000000009,3.5,17.5,17.4852155270968
2025-26-Winthrop,2025-26,Winthrop,Big South,131,11.127186411382844,0.0,0.0,11.127186411382844,127,0,-1.5,-3.0,1.5,-8.0,4.0,11.127186411382844
2025-26-Vanderbilt,2025-26,Vanderbilt,SEC,13,55.14491149003556,0.0,0.0,55.14491149003556,11,11,42.0,20.0,3.0,3.0,60.5,55.14491149003556
2025-26-Holy Cross,2025-26,Holy Cross,Patriot,331,-10.771565011837808,0.0,0.0,-10.771565011837808,351,0,-0.5,-2.0,-9.0,-47.0,1.0,-10.771565011837808
2025-26-Rutgers,2025-26,Rutgers,Big Ten,135,18.968770454825474,0.0,0.0,18.968770454825474,93,0,-4.74,1.0,7.0,-1.5,12.0,18.968770454825474
2025-26-Lipscomb,2025-26,Lipscomb,ASUN,193,5.570078947474382,0.0,0.0,5.570078947474382,171,0,-2.0,0.0,-8.0,-12.5,2.0,5.570078947474382
2025-26-California,2025-26,California,ACC,68,29.18176180008521,0.0,0.0,29.18176180008521,58,58,15.0,2.0,3.5,4.0,27.0,29.18176180008521
2025-26-Purdue,2025-26,Purdue,Big Ten,9,56.23127854243326,0.0,0.0,56.23127854243326,9,9,41.0,18.0,7.0,1.5,62.0,56.23127854243326
2025-26-Kentucky,2025-26,Kentucky,SEC,28,42.613107975654685,0.0,0.0,42.613107975654685,25,25,17.0,19.0,3.0,3.0,40.5,42.613107975654685
