Season,TeamSource,TeamCanonical,TrueSeed,IsSelected,SourceUrl,SourceType,Verified
2020-21,Gonzaga,Gonzaga,1,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Baylor,Baylor,2,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Illinois,Illinois,3,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Michigan,Michigan,4,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Alabama,Alabama,5,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Ohio State,Ohio St.,6,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Iowa,Iowa,7,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Houston,Houston,8,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Arkansas,Arkansas,9,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,West Virginia,West Virginia,10,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Texas,Texas,11,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Kansas,Kansas,12,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Florida State,Florida St.,13,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Purdue,Purdue,14,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
2020-21,Oklahoma State,Oklahoma St.,15,1,https://www.cbssports.com/college-basketball/news/2021-ncaa-tournament-bracket-seed-list-from-1-68-march-madness-printable-bracket-key-dates-times/,cbssports_manual_fallback,True
