RecordID,Season,Team,Conference,Overall Seed,Bid Type,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,NETSOS,NETNonConfSOS,Quadrant1,Quadrant2,Quadrant3,Quadrant4
2020-21-UCDavis,2020-21,UC Davis,Big West,,,223,224,240,211,8-Sep,5-Jul,3-Feb,3-Apr,264,287,0-0,0-3,2-Jan,3-Aug
2020-21-MichiganSt.,2020-21,Michigan St.,Big Ten,43,AL,70,70,20,75,15-12,12-Sep,Jun-00,8-Mar,9,238,10-May,2-Apr,Feb-00,Apr-00
2020-21-ULM,2020-21,ULM,Sun Belt,,,292,292,244,214,19-Jul,14-May,5-Feb,10-Feb,313,263,0-0,0-1,7-Feb,11-May
2020-21-CentralConn.St.,2020-21,Central Conn. St.,NEC,,,301,301,200,195,16-May,13-May,0-3,9-Feb,242,54,0-1,0-2,6-Feb,7-Mar
2020-21-Colgate,2020-21,Colgate,Patriot,57,AQ,9,9,154,169,14-1,14-1,0-0,Jun-00,257,,0-0,Feb-00,1-Jun,Jun-00
2020-21-McNeese,2020-21,McNeese,Southland,,,336,336,346,279,14-Apr,11-Apr,0-3,8-Mar,343,204,0-0,0-1,0-3,10-Apr
2020-21-Virginia,2020-21,Virginia,ACC,16,AL,12,12,57,100,18-6,14-4,2-Apr,3-Jun,49,147,4-May,1-Apr,1-May,Apr-00
2020-21-EasternWash.,2020-21,Eastern Wash.,Big Sky,58,AQ,114,113,252,216,15-7,15-3,0-4,5-Jun,217,12,0-3,0-1,1-Apr,2-Nov
2020-21-UTArlington,2020-21,UT Arlington,Sun Belt,,,246,246,235,208,13-Oct,9-Sep,4-Jan,8-Mar,225,33,0-2,0-2,0-5,4-Oct
2020-21-Vermont,2020-21,Vermont,America East,,,115,116,304,232,5-Oct,5-Oct,0-0,2-Apr,335,,0-0,0-0,2-Feb,3-Aug
2020-21-Indiana,2020-21,Indiana,Big Ten,,,63,63,5,65,15-Dec,13-Jul,2-May,7-Mar,4,74,12-Feb,2-Jun,1-Feb,Feb-00
2020-21-A&M-CorpusChristi,2020-21,A&M-Corpus Christi,Southland,,,339,339,270,219,19-Feb,13-Feb,0-6,10-Jan,218,141,0-3,0-1,0-5,10-Feb
2020-21-Canisius,2020-21,Canisius,MAAC,,,207,207,270,219,6-Jul,6-Jul,0-0,4-Apr,314,,0-0,0-0,3-Jan,3-Jun
2020-21-William&Mary,2020-21,William & Mary,CAA,,,275,275,190,191,10-Jul,7-May,3-Feb,6-May,193,160,0-1,2-Jan,0-5,2-Jun
2020-21-UCRiverside,2020-21,UC Riverside,Big West,,,109,109,204,196,14-8,5-Sep,3-May,3-Jul,221,231,0-1,2-Jan,3-Apr,2-Sep
2020-21-Mercer,2020-21,Mercer,SoCon,,,117,118,139,159,15-11,10-Nov,1-Apr,6-Jun,168,167,1-Jan,5-Jan,5-Jun,Jul-00
2020-21-FIU,2020-21,FIU,CUSA,,,295,295,195,193,17-May,15-Feb,2-Mar,9-Feb,250,317,0-0,0-2,8-Feb,7-Mar
2020-21-NewOrleans,2020-21,New Orleans,Southland,,,293,293,341,257,15-Sep,8-Sep,0-7,10-Feb,320,189,0-1,0-0,0-6,8-Sep
2020-21-Duquesne,2020-21,Duquesne,Atlantic 10,,,131,132,111,141,9-Sep,8-Aug,1-Jan,5-Feb,110,212,0-4,2-Feb,1-Mar,2-Apr
2020-21-Penn,2020-21,Penn,Ivy League,,,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
2020-21-Pacific,2020-21,Pacific,WCC,,,132,131,91,126,9-Aug,8-Jun,1-Feb,6-Feb,72,210,0-5,0-3,1-Apr,Apr-00
2020-21-SaintJoseph's,2020-21,Saint Joseph's,Atlantic 10,,,221,221,59,101,15-May,10-Apr,5-Jan,9-Jan,67,13,5-Jan,0-7,3-Jan,Mar-00
2020-21-ArkansasSt.,2020-21,Arkansas St.,Sun Belt,,,241,241,252,216,13-Aug,9-Aug,0-4,9-Jan,274,88,0-1,0-2,4-Jan,6-Jul
2020-21-GeorgiaTech,2020-21,Georgia Tech,ACC,34,AQ,34,33,49,95,17-8,13-6,2-Apr,5-Apr,48,236,6-Mar,Jun-00,2-May,Mar-00
2020-21-Bellarmine,2020-21,Bellarmine,ASUN,,,181,181,328,243,7-Nov,4-Oct,3-Jan,2-Jul,306,117,0-1,0-1,0-2,3-Nov
2020-21-Col.ofCharleston,2020-21,Col. of Charleston,CAA,,,219,219,168,175,10-Jul,5-Jun,5-Jan,3-Jan,212,151,0-1,0-2,5-Mar,2-Apr
2020-21-TCU,2020-21,TCU,Big 12,,,141,141,69,107,14-Dec,12-May,2-Jul,6-Mar,39,220,10-Feb,1-Jan,2-Apr,1-May
2020-21-TennesseeSt.,2020-21,Tennessee St.,OVC,,,323,323,288,223,19-Mar,17-Mar,0-2,0-11,301,292,0-0,0-2,0-8,9-Mar
2020-21-UConn,2020-21,UConn,Big East,26,AL,30,30,46,93,15-7,7-Dec,Mar-00,3-Jun,60,128,4-Apr,3-Mar,May-00,Mar-00
2020-21-ColoradoSt.,2020-21,Colorado St.,Mountain West,,,51,51,142,162,17-6,15-5,1-Feb,4-Apr,115,168,4-Feb,2-Jan,Apr-00,Oct-00
2020-21-Stetson,2020-21,Stetson,ASUN,,,266,266,279,221,13-Sep,10-Aug,3-Jan,8-Mar,269,125,0-1,0-1,5-Feb,6-Jul
2020-21-WestVirginia,2020-21,West Virginia,Big 12,10,AL,24,23,15,73,18-9,7-Nov,2-Jul,2-Jul,18,31,7-Jul,2-Mar,Jun-00,Feb-00
2020-21-SouthCarolinaSt.,2020-21,South Carolina St.,MEAC,,,345,345,312,234,17-Jan,7-Jan,0-10,0-11,249,190,0-2,0-1,0-4,10-Jan
2020-21-SouthCarolina,2020-21,South Carolina,SEC,,,142,142,15,73,15-Jun,13-Apr,2-Feb,7-Feb,23,59,7-Jan,7-Jan,1-Mar,Jan-00
2020-21-Vanderbilt,2020-21,Vanderbilt,SEC,,,102,102,51,96,16-Sep,14-Apr,2-May,8-Feb,40,230,0-10,5-Mar,1-Feb,Apr-00
